cluster,n,lat,lon,date,region,top_culture,dom_Y,dom_mt
0,60,35.1773,25.4411,4050.0,North Africa,Greece_Crete_HgCharalambos_EMBA,n/(25); J2(16); J1(9),H(22); U(6); T(5)
1,15,38.2153,39.7526,10078.0,Europe,Turkey_PPN,n/(10); G2(3); C(1),U(4); n(3); K(3)
2,5850,48.58,13.7679,1250.0,Europe,Austria_Avar,n/(2622); R1(1215); I1(276),H(1604); U(586); T(428)
3,2789,48.2957,13.4547,4472.0,Europe,Czechia_EBA_Unetice,n/(1147); R1(620); I2(535),H(660); U(618); K(372)
4,1249,47.8168,18.9197,6750.0,Europe,France_Yonne_N,n/(594); G2(251); I2(140),H(315); K(226); T(177)
5,138,52.2236,-1.4060000000000001,3994.5,Europe,England_EBA_C,R1(69); n/(63); I2(4),U(28); H(28); K(27)
6,48,38.2123,62.0344,4005.5,Near East / SW Asia,Turkmenistan_BA1-1,n/(29); F(3); J(2),H(13); U(7); W(7)
7,36,55.1924,89.3053,3543.5,Central Asia / Steppe,Russia_KrasnoyarskKrai_MLBA,R1(19); n/(15); Q1(2),U(16); T(8); H(5)
8,35,50.7581,85.5602,4902.0,Central Asia / Steppe,Russia_Altai_Afanasievo,R1(24); n/(9); C2(2),T(14); U(12); J(2)
9,65,48.7889,25.8715,5628.0,Europe,Ukraine_Ternopil_Eneolithic_Trypillia,n/(22); G2(17); I2(10),U(16); H(13); J(11)
10,161,32.7,35.5609,3583.0,Europe,Israel_MLBA,n/(74); J1(38); J2(16),H(32); U(23); T(17)
11,25,53.1508,83.8224,5856.0,Central Asia / Steppe,Russia_AltaiKrai_Eneolithic,C2(13); n/(7); Q1(3),U(6); Z(5); R(5)
12,20,54.8813,11.86745,6361.0,Europe,Denmark_LateMesolithic_Ertebolle,I2(7); n/(6); G2(3),U(7); R(2); V(1)
13,97,52.1224,-0.34,3224.0,Europe,England_MBA,n/(56); R1(35); BT(2),H(35); U(25); T(9)
14,47,-13.4772,-75.6607,614.0,Americas,Peru_ChinchaValley_LateHorizon,Q1(21); n/(20); F(2),C(12); B(9); R(8)
15,56,34.01845,-119.8323,764.5,Americas,USA_California_600BP,n/(32); Q1(22); P1(1),A(21); C(19); R(5)
16,14,34.0195,-119.6782,3199.0,Americas,USA_California_3000BP,n/(9); Q1(3),A(4); B(3); C(3)
17,9,57.7193,-3.3829,2843.0,Europe,Scotland_LBA,n/(5); R1(4),I(3); K(2); H(2)
18,9,36.1544,54.3836,4698.0,Near East / SW Asia,Iran_TepeHissar_C,n/(6); L(1); T(1),U(3); H(3); W(2)
19,13,34.757,72.3624,2250.0,South Asia,Pakistan_Historic,n/(8); R2(2); R1(1),H(4); M(3); R(2)
20,120,42.1287,3.0934999999999997,2300.0,Europe,Spain_LateArchaic_Classical_Hellenistic,n/(51); R1(40); E1(6),H(66); U(14); J(13)
21,23,30.2472,79.7374,1109.0,South Asia,India_Roopkund-A,n/(10); H1(3); J2(3),M(12); U(4); H(2)
22,16,30.2472,79.7374,130.0,South Asia,India_Roopkund-B,n/(6); R1(2); G2(1),H(8); W(1); X(1)
23,15,42.7894,131.2761,6785.0,East Asia,Russia_PrimorskyKrai_MN_Boisman,n/(8); C2(5); CF(1),D(7); C(4); B(2)
24,49,49.9998,92.0334,2225.0,East Asia,Mongolia_EIA_Sagly-4,n/(13); R1(12); Q1(11),H(8); D(6); U(6)
25,66,54.3566,90.8022,4637.5,Other,Russia_Khakassia_Afanasievo,n/(27); Q1(23); R1(11),U(22); H(11); A(10)
26,17,37.3244,-4.0058,1450.0,Europe,Spain_LateAntiquity,n/(6); R1(3); J2(3),H(10); U(3); T(2)
27,46,24.3278,121.7656,1550.0,East Asia,Taiwan_IA,n/(23); O1(10); O2(6),E(13); F(13); R(7)
28,31,39.6833,9.4261,3123.0,Europe,Italy_Sardinia_BA_Nuragic_Nuragic,n/(12); G2(6); R1(5),H(9); T(5); J(5)
29,148,48.2015,35.0902,7167.0,Europe,Ukraine_N,I2(65); n/(36); R1(28),U(104); H(11); T(10)
30,47,40.7862,8.5958,4145.0,Europe,Italy_Sardinia_EBA,n/(18); I2(12); G2(7),J(13); H(12); K(6)
31,41,48.7418,76.9957,3631.0,Central Asia / Steppe,Kazakhstan_MLBA,R1(20); n/(19),U(15); T(11); H(6)
32,20,41.998999999999995,2.5623500000000003,1300.0,Europe,Spain_LateAntiquity,n/(9); R1(6); BT(1),U(6); H(4); J(3)
33,8,36.9508,-3.5472,400.0,North Africa,Spain_NazariPeriod_Muslim,n/(4); BT(1); R(1),U(3); H(2); L(1)
34,11,41.4696,44.6792,7541.0,Europe,Georgia_Arukhlo2_N_Caucasus,n/(5); J2(4); P1(1),K(5); U(2); T(2)
35,234,40.405,44.8334,3026.0,Europe,Armenia_Karashamb_LBA_EIA,n/(97); R1(56); I2(27),H(56); U(36); T(29)
36,9,37.5353,12.2637,3490.0,Europe,Italy_Sicily_MBA,n/(5); G2(3); R1(1),K(4); L(1); I(1)
37,47,37.6667,67.0,3642.0,Other,Uzbekistan_BA,n/(23); J2(8); R2(4),H(12); U(8); T(6)
38,9,-17.6788,168.4021,150.0,SE Asia / Oceania,Vanuatu_150BP,n/(3); O1(2); S(1),P(3); R(2); M(1)
39,15,56.2833,25.1333,6071.0,Europe,Latvia_MN,n/(8); R1(6),U(14)
40,8,56.2833,25.1333,7658.0,Europe,Latvia_LateMesolithic_Kunda,R1(4); I2(2); n/(2),U(8)
41,9,56.2833,25.1333,7033.0,Europe,Latvia_EMN_Narva,R1(7); I2(2),U(9)
42,19,37.908,13.478,4073.0,Europe,Italy_Sicily_EBA,R1(8); n/(8); J2(1),H(4); K(3); U(3)
43,100,34.7515,72.3491,2850.0,South Asia,Pakistan_IA,n/(46); L1(12); R2(9),U(26); M(22); H(14)
44,24,44.5331,22.0499,8704.0,Europe,Serbia_IronGates_Mesolithic,n/(10); R1(8); I2(4),U(18); K(4)
45,13,55.7567,74.314,6030.0,Central Asia / Steppe,Russia_Novosibirsk_N,R1(6); n/(3); Q(2),U(5); C(3); R(2)
46,149,53.0856,49.4659,6951.0,Central Asia / Steppe,Russia_Saratov_Eneolithic_Khvalynsk,R1(53); n/(51); Q1(27),U(114); H(11); R(7)
47,66,21.0705,30.664,1100.0,North Africa,Sudan_KulubnartiS_Christian,n/(36); E1(16); J2(3),L(28); H(15); U(12)
48,69,49.4054,33.4903,2400.0,Europe,Ukraine_LIA_Scythian,R1(25); n/(22); E1(7),H(19); U(15); T(8)
49,8,53.03,50.39,3475.0,Central Asia / Steppe,Russia_Samara_LBA_Srubnaya,R1(5); n/(3),U(4); J(2); H(1)
50,94,53.03725,50.9833,4850.0,Central Asia / Steppe,Russia_Samara_EBA_Yamnaya,R1(63); n/(27); Q1(3),U(34); H(19); T(11)
51,118,52.8167,60.126,3765.0,Central Asia / Steppe,Russia_Chelyabinsk_MLBA_Sintashta,n/(54); R1(43); Q1(18),U(42); H(32); T(18)
52,20,40.00725,-0.4863,5653.5,Europe,Spain_MLN,n/(11); I2(4); G2(2),U(6); K(3); X(3)
53,17,42.5,0.5,7127.0,Europe,Spain_EN,n/(7); I2(4); R1(3),J(4); K(3); T(2)
54,77,-3.9535,39.7565,428.0,Africa,Kenya_Medieval_Swahili,n/(36); E1(12); J1(11),L(67); n(7); M(2)
55,13,20.1333,105.9833,3850.0,East Asia,Vietnam_N,n/(6); O2(3); CT(1),M(6); n(3); B(2)
56,52,40.3037,29.6085,8252.0,Europe,Turkey_N,n/(19); G2(18); J2(3),K(19); N(9); U(6)
57,16,32.65,35.067,12700.0,Near East / SW Asia,Israel_Natufian,E1(13); E(3),H(5); n(5); J(3)
58,22,53.341,83.9304,7444.5,Central Asia / Steppe,Russia_AltaiKrai_N,Q1(17); C2(4); P1(1),U(11); C(5); D(1)
59,31,52.0484,104.2492,7701.0,East Asia,Russia_Buryatia_N,n/(9); N1(7); Q1(7),C(11); D(7); F(5)
60,18,55.4993,73.3355,2150.0,Central Asia / Steppe,Russia_EIA_IA_Sargatka,n/(5); N1(5); NO(2),U(6); H(4); D(2)
61,22,30.6499,61.4003,4773.0,Near East / SW Asia,Iran_ShahriSokhta_BA1-1,n/(9); J2(7); L1(1),U(5); W(3); R(3)
62,17,32.9742,35.3314,6150.0,Near East / SW Asia,Israel_LateC,n/(10); T1(7),T(7); I(2); R(2)
63,11,-17.786,168.37,2885.0,SE Asia / Oceania,Vanuatu_2900BP,n/(6); O1(2); BT(1),B(5); n(5); R(1)
64,44,57.43615,39.6699,4500.0,Europe,Russia_Yaroslavl_EMBA,n/(21); R1(18),U(10); T(7); H(7)
65,55,53.0445,104.2492,4411.0,East Asia,Russia_Irkutsk_EBA,Q1(23); n/(21); C2(7),C(26); D(9); F(9)
66,20,34.45,48.116,9909.0,Near East / SW Asia,Iran_GanjDareh_N,n/(10); R2(8); R(1),R(9); U(4); X(3)
67,8,37.724,12.916,6815.0,Europe,Italy_Sicily_MN,n/(5); C1(2),K(4); H(3)
68,13,37.177,40.952,1222.0,Europe,Turkey_EarlyMedieval_Byzantine,J2(4); J1(4); n/(4),U(3); N(3); X(3)
69,43,40.0197,35.8711,5260.0,Europe,Turkey_C,n/(23); G2(9); J2(4),K(11); H(4); T(3)
70,9,41.313,36.33,1716.0,Europe,Turkey_LateAntiquity_ImperialRoman,R1(4); T1(2); n/(1),D(3); U(2); X(2)
71,9,56.2833,25.1333,7369.0,Europe,Latvia_EMN_Narva,I2(5); R1(2); n/(2),U(9)
72,14,44.57155,22.0499,9249.0,Europe,Serbia_IronGates_Mesolithic,n/(10); R1(4),U(7); K(6); H(1)
73,24,37.5432,37.17,4562.0,Europe,Turkey_EBA,n/(10); J2(4); T1(3),U(6); K(4); H(3)
74,61,54.9483,52.73,950.0,Central Asia / Steppe,Russia_Bashkortostan_Medieval_LateChiyalik,n/(26); R1(18); N1(6),U(9); T(9); H(9)
75,33,49.6572,99.7664,3173.0,East Asia,Mongolia_Khovsgol_LBA-6,Q1(16); n/(12); N(2),C(9); D(7); A(5)
76,9,56.4576,74.8751,4849.0,Siberia / North Asia,Russia_Omsk_Eneolithic_Okunevsky,n/(4); Q1(4); C2(1),U(5); D(2); C(1)
77,30,55.029,73.5728,3909.5,Central Asia / Steppe,Russia_Rostovka_EMBA_Irtysh_SeimaTurbino,n/(17); R1(4); Q1(3),C(5); R(5); U(4)
78,11,6.8451,158.3342,488.0,SE Asia / Oceania,FederatedStatesofMicronesia_SaudeleurDynasty,S(5); n/(4); C1(1),B(9)
79,9,37.885,12.475,1682.0,Europe,Italy_Sicily_ImperialRoman_Sicilia,n/(7); J1(1); R1(1),H(3); T(2); R(1)
80,16,66.1214,-170.4603,1062.5,Other,Russia_Chukotka_EarlyModern_OldBeringSea,Q1(7); n/(6); C2(3),A(13); D(3)
81,152,18.4506,-69.4088,850.0,Americas,DominicanRepublic_Ceramic,Q1(80); n/(69); Q(2),C(69); A(61); D(10)
