cluster,n,region,regions_all,date_BP_median,date_BP_min,date_BP_max,lat,lon,top_cultures,dominant_Y_hg,dominant_mt_hg,climate
2,5850,Europe,Europe (5787); North Africa (63),1250,123,3151,48.58,13.77,Austria_Avar (714); Belgium_HighMedieval (183); England_Cambridgeshire_Medieval (148),n/ (2622); R1 (1213); I1 (276),H1 (618); U5 (330); T2 (306),Late Holocene (post-4.2ka) (5850)
3,2789,Europe,Europe (2705); North Africa (41); Central Asia / Steppe (26),4472,2900,6091,48.3,13.45,Czechia_EBA_Unetice (113); Spain_C (108); Sweden_N (75),n/ (1147); R1 (619); I2 (535),U5 (382); K1 (331); H1 (222),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (1707); Late Holocene (post-4.2ka) (1082)
4,1249,Europe,Europe (1249),6750,5785,8156,47.82,18.92,France_Yonne_N (105); Austria_N_LBK (103); Romania_C_Bodrogkeresztur (77),n/ (594); G2 (251); I2 (140),K1 (194); T2 (160); J1 (98),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (1249)
35,234,Europe,Europe (146); Near East / SW Asia (88),3026,2401,3562,40.4,44.83,Armenia_Karashamb_LBA_EIA (21); Iran_Hasanlu_IA (20); Armenia_Lchashen_LBA (15),n/ (97); R1 (56); I2 (27),K1 (22); T2 (20); J1 (16),Late Holocene (post-4.2ka) (234)
10,161,Europe,Europe (72); Near East / SW Asia (66); North Africa (23),3583,3095,4275,32.7,35.56,Israel_MLBA (48); Turkey_MLBA (38); Jordan_LBA (20),n/ (74); J1 (38); J2 (16),U3 (13); N1 (11); T2 (10),Late Holocene (post-4.2ka) (159); Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (2)
81,152,Americas,Americas (152),850,464,1367,18.45,-69.41,DominicanRepublic_Ceramic (92); DominicanRepublic_LateCeramic (24); PuertoRico_Ceramic (22),Q1 (80); n/ (69); Q (2),C1 (64); A2 (61); D1 (10),Late Holocene (post-4.2ka) (152)
46,149,Central Asia / Steppe,Central Asia / Steppe (149),6951,6263,7544,53.09,49.47,Russia_Saratov_Eneolithic_Khvalynsk (47); Russia_Samara_Eneolithic_Ekaterinovka (42); Russia_Tatarstan_Eneolithic (26),R1 (53); n/ (51); Q1 (27),U5 (58); U4 (35); U2 (21),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (149)
29,148,Europe,Europe (148),7167,6017,7650,48.2,35.09,Ukraine_N (35); Ukraine_Kirovohrad_N (27); Ukraine_Zaporizhia_N (20),I2 (65); n/ (36); R1 (28),U5 (52); U4 (43); T2 (10),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (148)
5,138,Europe,Europe (138),3994,3569,4384,52.22,-1.41,England_EBA_C (34); England_BellBeaker (28); Netherlands_LNB_BellBeaker (14),R1 (69); n/ (63); I2 (4),K1 (24); U5 (22); T2 (22),Late Holocene (post-4.2ka) (114); Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (24)
178,137,Americas,Americas (137),584,375,1153,-30.77,-63.39,Argentina_SantiagodelEstero_400BP (36); Argentina_Cordoba_700BP (28); Argentina_Cordoba_600BP (15),Q1 (74); n/ (48); F (2),C1 (41); B2 (24); A2 (24),Late Holocene (post-4.2ka) (137)
